taxon	group	level
Gavialis#genus	Reptile#class	class
Geochelone#genus	Reptile#class	class
Giant_octopus#genus	Mollusca#phylum	phylum
Glis#genus	Rodent#order	order
Goldeneye_duck#genus	Bird#class	class
Gonepteryx#genus	Lepidoptera#order	order
Gopherus#genus	Reptile#class	class
Gorilla#genus	Primate#order	order
Grass-warbler#genus	Passerine#order	order
Grus_genus#genus	Bird#class	class
Gulo#genus	Carnivora#order	order
Haematopus#genus	Charadriiformes#order	order
Hare#genus	Mammal#class	class
Harpagornis#genus	Accipitridae#family	family
Harpia#genus	Accipitridae#family	family
Harrier_bird#genus	Accipitridae#family	family
Helix_gastropod#genus	Mollusca#phylum	phylum
Hemiechinus#genus	Mammal#class	class
Heterocephalus#genus	Rodent#order	order
Hippopotamus_genus#genus	Even-toed_ungulate#order	order
Hirundo#genus	Passerine#order	order
Homo#genus	Primate#order	order
Horned_owl#genus	Bird#class	class
Hornet#genus	Hymenoptera#order	order
Hylobates#genus	Primate#order	order
Hypericum#genus	Dicotyledon#class	class
Hyperoodon#genus	Cetacea#order	order
Inachis#genus	Lepidoptera#order	order
Inia#genus	Cetacea#order	order
Kinglet#genus	Passerine#order	order
Kittiwake#genus	Charadriiformes#order	order
Kiwi#genus	Bird#class	class
Lacerta_genus#genus	Lizard#suborder	suborder
Lagenorhynchus#genus	Cetacea#order	order
Lagopus#genus	Bird#class	class
Lama_genus#genus	Even-toed_ungulate#order	order
Lampetra#genus	Chordate#phylum	phylum
Lampyris#genus	Insect#class	class
Larus#genus	Charadriiformes#order	order
Lasius#genus	Hymenoptera#order	order
Laticauda#genus	Snake#suborder	suborder
Leaf-warbler#genus	Passerine#order	order
Leptodactylus#genus	Amphibian#class	class
Lissotriton#genus	Amphibian#class	class
Loon#genus	Bird#class	class
Lophophanes#genus	Passerine#order	order
Luscinia#genus	Passerine#order	order
Lutra#genus	Carnivora#order	order
Lutung#genus	Primate#order	order
Lycalopex#genus	Carnivora#order	order
Lynx#genus	Carnivora#order	order
Lyrebird#genus	Passerine#order	order
Macaque#genus	Primate#order	order
Macroglossum#genus	Lepidoptera#order	order
Macropus#genus	Mammal#class	class
Maculinea#genus	Lepidoptera#order	order
Mammoth#genus	Mammal#class	class
Manatee#genus	Mammal#class	class
Maple#genus	Dicotyledon#class	class
Mara_mammal#genus	Rodent#order	order
Marmot#genus	Rodent#order	order
Marten#genus	Carnivora#order	order
Mastodon#genus	Mammal#class	class
Megaloceros#genus	Even-toed_ungulate#order	order
Melanargia#genus	Lepidoptera#order	order
Merops_genus#genus	Bird#class	class
Micromys#genus	Rodent#order	order
Microtus#genus	Rodent#order	order
Milvus#genus	Accipitridae#family	family
Miniopterus#genus	Bat#order	order
Mollymawk#genus	Bird#class	class
Monachus#genus	Carnivora#order	order
Monitor_lizard#genus	Lizard#suborder	suborder
Monodon#genus	Cetacea#order	order
Moorhen#genus	Bird#class	class
Morelia_genus#genus	Snake#suborder	suborder
Motacilla#genus	Passerine#order	order
Mouse-eared_bat#genus	Bat#order	order
Mouse_lemur#genus	Primate#order	order
Mulgara#genus	Mammal#class	class
Muntjac#genus	Even-toed_ungulate#order	order
Muscicapa#genus	Passerine#order	order
Mycteria#genus	Bird#class	class
Naja#genus	Snake#suborder	suborder
Nanger#genus	Bovid#family	family
Narcissus_plant#genus	Monocotyledon#class	class
Nasua#genus	Carnivora#order	order
Natrix#genus	Snake#suborder	suborder
Negaprion#genus	Chordate#phylum	phylum
Neofelis#genus	Carnivora#order	order
Neovison#genus	Carnivora#order	order
Nestor_genus#genus	Bird#class	class
Nettle#genus	Dicotyledon#class	class
Nomascus#genus	Primate#order	order
North_Pacific_albatross#genus	Bird#class	class
Nyctalus#genus	Bat#order	order
Oak#genus	Dicotyledon#class	class
Ophiophagus#genus	Snake#suborder	suborder
Orangutan#genus	Primate#order	order
Oreotrochilus#genus	Bird#class	class
Otis#genus	Bird#class	class
Ovis#genus	Bovid#family	family
Pandion#genus	Bird#class	class
Panthera#genus	Carnivora#order	order
Panurus#genus	Passerine#order	order
Papaver#genus	Dicotyledon#class	class
Papilio#genus	Lepidoptera#order	order
Parabuteo#genus	Accipitridae#family	family
Paradisaea#genus	Passerine#order	order
Pardosa#genus	Arthropod#phylum	phylum
Parotia#genus	Passerine#order	order
Parotomys#genus	Rodent#order	order
Parus#genus	Passerine#order	order
Passer#genus	Passerine#order	order
Pavo_genus#genus	Bird#class	class
P_C3_A8re_David_27s_Deer#genus	Even-toed_ungulate#order	order
Pelophylax#genus	Amphibian#class	class
Periparus#genus	Passerine#order	order
Pernis_bird#genus	Accipitridae#family	family
Petaurus#genus	Mammal#class	class
Phascolarctos#genus	Mammal#class	class
Phasianus#genus	Bird#class	class
Phocoena#genus	Cetacea#order	order
Phoenicurus#genus	Passerine#order	order
Physeter#genus	Cetacea#order	order
Pica_genus#genus	Passerine#order	order
Picus_biology#genus	Bird#class	class
Pika#genus	Mammal#class	class
Pinus#genus	Plant#kingdom	kingdom
Pipistrellus#genus	Bat#order	order
Pipra#genus	Passerine#order	order
Platysaurus#genus	Lizard#suborder	suborder
Plecotus#genus	Bat#order	order
Podiceps#genus	Bird#class	class
Podocnemis#genus	Reptile#class	class
Polyommatus#genus	Lepidoptera#order	order
Prairie_dog#genus	Rodent#order	order
Prionailurus#genus	Carnivora#order	order
Procapra#genus	Bovid#family	family
Pseudois#genus	Bovid#family	family
Puffin#genus	Charadriiformes#order	order
Puffinus#genus	Bird#class	class
Puma_genus#genus	Carnivora#order	order
Pusa#genus	Carnivora#order	order
Pycnopodia#genus	Animal#kingdom	kingdom
Pygocentrus#genus	Actinopterygii#class	class
Pygoscelis#genus	Bird#class	class
Pyronia#genus	Lepidoptera#order	order
Pyrrhula#genus	Passerine#order	order
Python_genus#genus	Snake#suborder	suborder
Quelea#genus	Passerine#order	order
Quoll#genus	Mammal#class	class
Rallus#genus	Bird#class	class
Rana_genus#genus	Amphibian#class	class
Rat#genus	Rodent#order	order
Red-backed_vole#genus	Rodent#order	order
Rhinoceros_genus#genus	Mammal#class	class
Rhinodermatidae#genus	Amphibian#class	class
Rhinolophus#genus	Bat#order	order
Rhynchocyon#genus	Mammal#class	class
Rhynochetos#genus	Bird#class	class
Ridley_sea_turtle#genus	Reptile#class	class
Right_whale#genus	Cetacea#order	order
Riparia#genus	Passerine#order	order
Rock-wallaby#genus	Mammal#class	class
Ruffed_lemur#genus	Primate#order	order
Sailfish#genus	Actinopterygii#class	class
Salmo#genus	Actinopterygii#class	class
Sarcophilus#genus	Mammal#class	class
Saxicola#genus	Passerine#order	order
Scathophaga#genus	Insect#class	class
Schistocerca#genus	Insect#class	class
Sciurus#genus	Rodent#order	order
Sea_eagle#genus	Accipitridae#family	family
Seahorse#genus	Actinopterygii#class	class
Sepia_genus#genus	Mollusca#phylum	phylum
Sifaka#genus	Primate#order	order
Skua#genus	Charadriiformes#order	order
Snub-nosed_monkey#genus	Primate#order	order
Sorex#genus	Mammal#class	class
Spermophilus#genus	Rodent#order	order
Stenella#genus	Cetacea#order	order
Sterna#genus	Charadriiformes#order	order
Streptopelia#genus	Bird#class	class
Strix_genus#genus	Bird#class	class
Strongylocentrotus#genus	Animal#kingdom	kingdom
Sturnus#genus	Passerine#order	order
Swan#genus	Bird#class	class
Syconycteris#genus	Bat#order	order
Symphalangus#genus	Primate#order	order
Taeniopygia#genus	Passerine#order	order
Taipan#genus	Snake#suborder	suborder
Talpa_genus#genus	Mammal#class	class
Tamarin#genus	Primate#order	order
Taxus#genus	Plant#kingdom	kingdom
Tetrao#genus	Bird#class	class
Theraphosa#genus	Arthropod#phylum	phylum
Theristicus#genus	Bird#class	class
Thermophis#genus	Snake#suborder	suborder
Three-toed_sloth#genus	Mammal#class	class
Tolypeutes#genus	Mammal#class	class
Trachelophorus#genus	Insect#class	class
Tragopan#genus	Bird#class	class
Tree-kangaroo#genus	Mammal#class	class
Triturus#genus	Amphibian#class	class
Troglodytes_wren#genus	Passerine#order	order
True_lemur#genus	Primate#order	order
True_thrush#genus	Passerine#order	order
Turkey_bird#genus	Bird#class	class
Typical_warbler#genus	Passerine#order	order
Uakari#genus	Primate#order	order
Uria#genus	Charadriiformes#order	order
Ursus_genus#genus	Carnivora#order	order
Vanellus#genus	Charadriiformes#order	order
Vanessa_butterfly#genus	Lepidoptera#order	order
Vespula#genus	Hymenoptera#order	order
Vipera#genus	Snake#suborder	suborder
Vulpes#genus	Carnivora#order	order
Waxwing#genus	Passerine#order	order
Weasel#genus	Carnivora#order	order
Whites_butterfly#genus	Lepidoptera#order	order
Wildebeest#genus	Bovid#family	family
Woolly_monkey#genus	Primate#order	order
Zootoca#genus	Lizard#suborder	suborder
Ceratopsia#infraorder	Dinosaur#superorder	superorder
Dragonfly#infraorder	Insect#class	class
Lemur#infraorder	Primate#order	order
Ornithopod#infraorder	Dinosaur#superorder	superorder
Sauropoda#infraorder	Dinosaur#superorder	superorder
Stegosauria#infraorder	Dinosaur#superorder	superorder
Chromista#kingdom	Life#life	life
Fungus#kingdom	Fungus#kingdom	kingdom
Plant#kingdom	Plant#kingdom	kingdom
Aardvark#species	Mammal#class	class
Acacia#genus	Dicotyledon#class	class
Acanthophis#genus	Snake#suborder	suborder
Acer_pseudoplatanus#species	Dicotyledon#class	class
Adansonia#genus	Dicotyledon#class	class
Adelie_Penguin#species	Bird#class	class
Adenium#species	Dicotyledon#class	class
Adonis_Blue#species	Lepidoptera#order	order
Aesculus_hippocastanum#species	Dicotyledon#class	class
African_Buffalo#species	Bovid#family	family
African_Fish_Eagle#species	Accipitridae#family	family
African_Forest_Elephant#species	Mammal#class	class
African_Penguin#species	Bird#class	class
African_Wild_Dog#species	Carnivora#order	order
Agama_genus#genus	Lizard#suborder	suborder
Agile_Gibbon#species	Primate#order	order
Allosaurus#genus	Theropoda#suborder	suborder
Amaurobius_ferox#species	Arthropod#phylum	phylum
Amazon_river_dolphin#species	Cetacea#order	order
Ambulocetus#genus	Cetacea#order	order
Amegilla#genus	Hymenoptera#order	order
American_Bison#species	Bovid#family	family
American_Black_Bear#species	Carnivora#order	order
American_Black_Vulture#species	Bird#class	class
American_mastodon#species	Mammal#class	class
Ammonite#order	Mollusca#phylum	phylum
Andean_Condor#species	Bird#class	class
Andean_Hillstar#species	Bird#class	class
Andrewsarchus#genus	Mammal#class	class
Anglerfish#order	Actinopterygii#class	class
Anguis_fragilis#species	Lizard#suborder	suborder
Ankylosauria#infraorder	Dinosaur#superorder	superorder
Annelid#phylum	Animal#kingdom	kingdom
Antarctic_Fur_Seal#species	Carnivora#order	order
Antarctic_minke_whale#species	Cetacea#order	order
Antaresia_maculosa#species	Snake#suborder	suborder
Anthozoa#class	Animal#kingdom	kingdom
Apatosaurus#genus	Dinosaur#superorder	superorder
Aphididae#family	Insect#class	class
Apodiformes#order	Bird#class	class
Arachnocampa#genus	Insect#class	class
Arapaima#species	Actinopterygii#class	class
Archaeopteryx#genus	Bird#class	class
Arctic_Fox#species	Carnivora#order	order
Arctic_Ground_Squirrel#species	Rodent#order	order
Arctic_Skua#species	Charadriiformes#order	order
Arctic_Tern#species	Charadriiformes#order	order
Arctiidae#family	Lepidoptera#order	order
Argali#species	Bovid#family	family
Argentinosaurus#genus	Dinosaur#superorder	superorder
Armadillo#order	Mammal#class	class
Arrau#species	Reptile#class	class
Arthropod#phylum	Arthropod#phylum	phylum
Asian_Elephant#species	Mammal#class	class
Asian_Golden_Cat#species	Carnivora#order	order
Asparagales#order	Monocotyledon#class	class
Atlantic_Puffin#species	Charadriiformes#order	order
Atlantic_sailfish#species	Actinopterygii#class	class
Atlantic_salmon#species	Actinopterygii#class	class
Atlantic_spotted_dolphin#species	Cetacea#order	order
Atta_genus#genus	Hymenoptera#order	order
Aurelia_aurita#species	Animal#kingdom	kingdom
Aurochs#species	Bovid#family	family
Australian_Giant_Cuttlefish#species	Mollusca#phylum	phylum
Australopithecus#genus	Primate#order	order
Australovenator#genus	Theropoda#suborder	suborder
Austropotamobius_pallipes#species	Arthropod#phylum	phylum
Aye-aye#species	Primate#order	order
Bactrian_Camel#species	Even-toed_ungulate#order	order
Baikal_Seal#species	Carnivora#order	order
Bald_Uakari#species	Primate#order	order
Bamboo#tribe	Monocotyledon#class	class
Banded_Demoiselle#species	Insect#class	class
Banded_Mongoose#species	Carnivora#order	order
Barbary_macaque#species	Primate#order	order
Bar-headed_Goose#species	Bird#class	class
Barnacle_Goose#species	Bird#class	class
Barn_Swallow#species	Passerine#order	order
Basilosaurus#genus	Cetacea#order	order
Basking_shark#species	Chordate#phylum	phylum
Bat#order	Bat#order	order
Bearded_Vulture#species	Accipitridae#family	family
Bear_dog#family	Carnivora#order	order
Beetle#order	Insect#class	class
Beloniformes#order	Actinopterygii#class	class
Beluga_whale#species	Cetacea#order	order
Bharal#species	Bovid#family	family
Bighorn_Sheep#species	Bovid#family	family
Black-banded_sea_krait#species	Snake#suborder	suborder
Blackberry#species	Dicotyledon#class	class
Black-browed_Albatross#species	Bird#class	class
Blackbuck#species	Bovid#family	family
Blackcap#species	Passerine#order	order
Black_Crested_Gibbon#species	Primate#order	order
Black-flanked_Rock-wallaby#species	Mammal#class	class
Black_garden_ant#species	Hymenoptera#order	order
Black_Grouse#species	Bird#class	class
Black-legged_Kittiwake#species	Charadriiformes#order	order
Black_mamba#species	Snake#suborder	suborder
Black-necked_Grebe#species	Bird#class	class
Black_Rhinoceros#species	Mammal#class	class
Black_Snub-nosed_Monkey#species	Primate#order	order
Black-tailed_Prairie_Dog#species	Rodent#order	order
Black-throated_Loon#species	Bird#class	class
Blue_Bird_of_Paradise#species	Passerine#order	order
Blue_Tit#species	Passerine#order	order
Blue_Whale#species	Cetacea#order	order
Blue_Wildebeest#species	Bovid#family	family
Boa_constrictor#species	Snake#suborder	suborder
Bohemian_Waxwing#species	Passerine#order	order
Boiga_dendrophila#species	Snake#suborder	suborder
Bongo_antelope#species	Bovid#family	family
Bonobo#species	Primate#order	order
Bornean_Orangutan#species	Primate#order	order
Bothriechis_schlegelii#species	Snake#suborder	suborder
Bothrops_asper#species	Snake#suborder	suborder
Bottlenose_whale#species	Cetacea#order	order
Bowhead_whale#species	Cetacea#order	order
Brachiopod#phylum	Animal#kingdom	kingdom
Brant_Goose#species	Bird#class	class
Brantss_Whistling_Rat#species	Rodent#order	order
Broadleys_Flat_Lizard#species	Lizard#suborder	suborder
Brown_basilisk#species	Lizard#suborder	suborder
Brown_Bear#species	Carnivora#order	order
Brown_Fur_Seal#species	Carnivora#order	order
Brown_long-eared_bat#species	Bat#order	order
Brown-throated_Sloth#species	Mammal#class	class
Brown_trout#species	Actinopterygii#class	class
Brown_Woolly_Monkey#species	Primate#order	order
Brush-tailed_Rock-wallaby#species	Mammal#class	class
Brycon#genus	Actinopterygii#class	class
Burrowing_Owl#species	Bird#class	class
Burrowing_Parakeet#species	Bird#class	class
Burying_beetle#genus	Insect#class	class
Bythograeidae#family	Arthropod#phylum	phylum
Caecilian#order	Amphibian#class	class
California_Mouse#species	Rodent#order	order
Canalipalpata#order	Animal#kingdom	kingdom
Cape_Dwarf_Chameleon#species	Lizard#suborder	suborder
Cape_Gannet#species	Bird#class	class
Carcharhiniformes#order	Chordate#phylum	phylum
Carcharodontosaurus#genus	Theropoda#suborder	suborder
Carnivora#order	Carnivora#order	order
Carrion_Crow#species	Passerine#order	order
Catfish#order	Actinopterygii#class	class
Cerapoda#suborder	Dinosaur#superorder	superorder
Cetacea#order	Cetacea#order	order
Cetartiodactyla#superorder	Mammal#class	class
Chaffinch#species	Passerine#order	order
Charadriiformes#order	Charadriiformes#order	order
Cheetah#species	Carnivora#order	order
Chiffchaff#species	Passerine#order	order
Chinese_Alligator#species	Reptile#class	class
Chinese_giant_salamander#species	Amphibian#class	class
Chinstrap_Penguin#species	Bird#class	class
Cichlid#family	Actinopterygii#class	class
Ciconiiformes#order	Bird#class	class
Clarks_Grebe#species	Bird#class	class
Clouded_Leopard#species	Carnivora#order	order
Clupeidae#family	Actinopterygii#class	class
Clupeiformes#order	Actinopterygii#class	class
Cnidaria#phylum	Animal#kingdom	kingdom
Coal_Tit#species	Passerine#order	order
Coccinella_septempunctata#species	Insect#class	class
Coccolithophore#order	Life#life	life
Cockroach#order	Insect#class	class
Coelophysis#genus	Theropoda#suborder	suborder
Columbian_Mammoth#species	Mammal#class	class
Common_Blackbird#species	Passerine#order	order
Common_Blossom_Bat#species	Bat#order	order
Common_Bluebell#species	Monocotyledon#class	class
Common_Bottlenose_Dolphin#species	Cetacea#order	order
Common_Buzzard#species	Accipitridae#family	family
Common_Chimpanzee#species	Primate#order	order
Common_Crossbill#species	Passerine#order	order
Common_Cuttlefish#species	Mollusca#phylum	phylum
Common_Goldeneye#species	Bird#class	class
Common_Kingfisher#species	Bird#class	class
Common_Murre#species	Charadriiformes#order	order
Common_Noctule#species	Bat#order	order
Common_Raven#species	Passerine#order	order
Common_Redstart#species	Passerine#order	order
Common_Shrew#species	Mammal#class	class
Common_Swift#species	Bird#class	class
Common_Vampire_Bat#species	Bat#order	order
Conus#genus	Mollusca#phylum	phylum
Coraciiformes#order	Bird#class	class
Cordyceps#genus	Fungus#kingdom	kingdom
Coronella_austriaca#species	Snake#suborder	suborder
Coyote#species	Carnivora#order	order
Crabeater_Seal#species	Carnivora#order	order
Crab_spider#family	Arthropod#phylum	phylum
Crataegus_monogyna#species	Dicotyledon#class	class
Crested_Tit#species	Passerine#order	order
Crest-tailed_Mulgara#species	Mammal#class	class
Crocodilia#order	Reptile#class	class
Crotalus#genus	Snake#suborder	suborder
Crowned_Eagle#species	Accipitridae#family	family
Crowned_Lemur#species	Primate#order	order
Crown-of-thorns_starfish#species	Animal#kingdom	kingdom
Cynodont#suborder	Chordate#phylum	phylum
Dall_Sheep#species	Bovid#family	family
Damaraland_Mole_Rat#species	Rodent#order	order
Dark_Green_Fritillary#species	Lepidoptera#order	order
Dartford_Warbler#species	Passerine#order	order
Darwins_Frog#species	Amphibian#class	class
Daspletosaurus#genus	Theropoda#suborder	suborder
Daubentons_Bat#species	Bat#order	order
Decapoda#order	Arthropod#phylum	phylum
Demoiselle_Crane#species	Bird#class	class
Desert_locust#species	Insect#class	class
Dinosaur#superorder	Dinosaur#superorder	superorder
Diplodocus#genus	Dinosaur#superorder	superorder
Diprotodontia#order	Mammal#class	class
Dire_Wolf#species	Carnivora#order	order
Dolomedes#genus	Arthropod#phylum	phylum
Dorias_Tree-kangaroo#species	Mammal#class	class
Dracaena_cinnabari#species	Monocotyledon#class	class
Dromedary#species	Even-toed_ungulate#order	order
Drongo#family	Passerine#order	order
Drosera#genus	Dicotyledon#class	class
Dugong#species	Mammal#class	class
Dung_beetle#superfamily	Insect#class	class
Dunnock#species	Passerine#order	order
Eastern_Gorilla#species	Primate#order	order
Eastern_gray_squirrel#species	Rodent#order	order
Eastern_Grey_Kangaroo#species	Mammal#class	class
Echinoderm#phylum	Animal#kingdom	kingdom
Echis_carinatus#species	Snake#suborder	suborder
Eciton_burchellii#species	Hymenoptera#order	order
Edible_dormouse#species	Rodent#order	order
Eeltail_catfish#family	Actinopterygii#class	class
Elephant_bird#family	Bird#class	class
Elk#species	Even-toed_ungulate#order	order
Emperor_Penguin#species	Bird#class	class
Entelodont#family	Even-toed_ungulate#order	order
Epidexipteryx#genus	Theropoda#suborder	suborder
Eriophorum#genus	Monocotyledon#class	class
Ethiopian_Wolf#species	Carnivora#order	order
Eucalyptus#genus	Dicotyledon#class	class
Euophrys_omnisuperstes#species	Arthropod#phylum	phylum
Eurasian_Bittern#species	Bird#class	class
Eurasian_Bullfinch#species	Passerine#order	order
Eurasian_Collared_Dove#species	Bird#class	class
Eurasian_Eagle-owl#species	Bird#class	class
Eurasian_harvest_mouse#species	Rodent#order	order
Eurasian_Hobby#species	Bird#class	class
Eurasian_Jay#species	Passerine#order	order
Eurasian_Lynx#species	Carnivora#order	order
Eurasian_Oystercatcher#species	Charadriiformes#order	order
Eurasian_Siskin#species	Passerine#order	order
Eurasian_Sparrowhawk#species	Accipitridae#family	family
Eurasian_Stone-curlew#species	Charadriiformes#order	order
Eurasian_Treecreeper#species	Passerine#order	order
European_Badger#species	Life#life	life
European_Beech#species	Dicotyledon#class	class
European_brook_lamprey#species	Chordate#phylum	phylum
European_garden_spider#species	Arthropod#phylum	phylum
European_Goldfinch#species	Passerine#order	order
European_Greenfinch#species	Passerine#order	order
European_Hare#species	Mammal#class	class
European_Hedgehog#species	Mammal#class	class
European_honey_bee#species	Hymenoptera#order	order
European_hornet#species	Hymenoptera#order	order
European_Magpie#species	Passerine#order	order
European_Mole#species	Mammal#class	class
European_Nightjar#species	Bird#class	class
European_Otter#species	Carnivora#order	order
European_Pied_Flycatcher#species	Passerine#order	order
European_Pine_Marten#species	Carnivora#order	order
European_Rabbit#species	Mammal#class	class
European_Robin#species	Passerine#order	order
European_Starling#species	Passerine#order	order
European_Stonechat#species	Passerine#order	order
European_Storm-petrel#species	Bird#class	class
European_Water_Vole#species	Rodent#order	order
Eurypterid#order	Arthropod#phylum	phylum
Even-toed_ungulate#order	Even-toed_ungulate#order	order
Falconiformes#order	Bird#class	class
Fieldfare#species	Passerine#order	order
Field_Vole#species	Rodent#order	order
Flowering_plant#phylum	Plant#kingdom	kingdom
Fly#order	Insect#class	class
Flying_fish#family	Actinopterygii#class	class
Fork-marked_lemur#genus	Primate#order	order
Formica_aquilonia#species	Hymenoptera#order	order
Formica_lugubris#species	Hymenoptera#order	order
Fossa_animal#species	Carnivora#order	order
Francois_Langur#species	Primate#order	order
Frill-necked_Lizard#species	Lizard#suborder	suborder
Fritillaria_meleagris#species	Monocotyledon#class	class
Frog#order	Amphibian#class	class
Frogfish#family	Actinopterygii#class	class
Furcifer_labordi#species	Lizard#suborder	suborder
Galanthus_nivalis#species	Monocotyledon#class	class
Gal_pagos_Fur_Seal#species	Carnivora#order	order
Gal_pagos_Land_Iguana#species	Lizard#suborder	suborder
Gal_pagos_Petrel#species	Bird#class	class
Gal_pagos_tortoise#species	Reptile#class	class
Galliformes#order	Bird#class	class
Garden_Warbler#species	Passerine#order	order
Gastornis#genus	Bird#class	class
Gatekeeper_Butterfly#species	Lepidoptera#order	order
Gees_Golden_Langur#species	Primate#order	order
Gelada#species	Primate#order	order
Gentoo_Penguin#species	Bird#class	class
Gharial#species	Reptile#class	class
Giant_Anteater#species	Mammal#class	class
Giant_Panda#species	Carnivora#order	order
Giant_tube_worm#species	Animal#kingdom	kingdom
Giant_weta#genus	Insect#class	class
Gigantoraptor#genus	Theropoda#suborder	suborder
Giraffe#species	Even-toed_ungulate#order	order
Giraffe_weevil#species	Insect#class	class
Glyptodontidae#family	Mammal#class	class
Goby#family	Actinopterygii#class	class
Goldcrest#species	Passerine#order	order
Golden_Snub-nosed_Monkey#species	Primate#order	order
Goliath_birdeater#species	Arthropod#phylum	phylum
Gonepteryx_rhamni#species	Lepidoptera#order	order
Goose_barnacle#order	Arthropod#phylum	phylum
Gopherus_polyphemus#species	Reptile#class	class
Grandidiers_Mongoose#species	Carnivora#order	order
Grants_gazelle#species	Bovid#family	family
Gray_langur#genus	Primate#order	order
Gray_Mouse_Lemur#species	Primate#order	order
Gray_Seal#species	Carnivora#order	order
Gray_Whale#species	Cetacea#order	order
Gray_Wolf#species	Carnivora#order	order
Great_Black-backed_Gull#species	Charadriiformes#order	order
Great_Bustard#species	Bird#class	class
Great_Crested_Grebe#species	Bird#class	class
Great_Crested_Newt#species	Amphibian#class	class
Great_diving_beetle#species	Insect#class	class
Greater_Bulldog_Bat#species	Bat#order	order
Greater_Flamingo#species	Bird#class	class
Great_Grey_Owl#species	Bird#class	class
Great_Spotted_Woodpecker#species	Bird#class	class
Great_Tit#species	Passerine#order	order
Great_white_shark#species	Chordate#phylum	phylum
Green_sea_turtle#species	Reptile#class	class
Green_Woodpecker#species	Bird#class	class
Grey-faced_Sengi#species	Mammal#class	class
Grey_Heron#species	Bird#class	class
Grey_Wagtail#species	Passerine#order	order
Grimpoteuthis#genus	Mollusca#phylum	phylum
Ground_beetle#family	Insect#class	class
Gruiformes#order	Bird#class	class
Guanaco#species	Even-toed_ungulate#order	order
Gunnisons_Prairie_Dog#species	Rodent#order	order
Haasts_Eagle#species	Accipitridae#family	family
Hadrosaurid#family	Dinosaur#superorder	superorder
Hamadryas_Baboon#species	Primate#order	order
Hammerhead_shark#genus	Chordate#phylum	phylum
Harbor_Seal#species	Carnivora#order	order
Harbour_porpoise#species	Cetacea#order	order
Harmonia_axyridis#species	Insect#class	class
Harpy_Eagle#species	Accipitridae#family	family
Hatzegopteryx#genus	Reptile#class	class
Hazel_Dormouse#species	Rodent#order	order
Helix_aspersa#species	Mollusca#phylum	phylum
Hemiptera#order	Insect#class	class
Hermit_crab#superfamily	Arthropod#phylum	phylum
Herring_Gull#species	Charadriiformes#order	order
High_Brown_Fritillary#species	Lepidoptera#order	order
Himalayan_marmot#species	Rodent#order	order
Hippopotamus#species	Even-toed_ungulate#order	order
Homo_erectus#species	Primate#order	order
Honey_Buzzard#species	Accipitridae#family	family
Hooded_Crow#species	Passerine#order	order
House_Sparrow#species	Passerine#order	order
Human#species	Primate#order	order
Humboldt_Penguin#species	Bird#class	class
Humboldt_Squid#species	Mollusca#phylum	phylum
Humpback_whale#species	Cetacea#order	order
Huntsman_spider#family	Arthropod#phylum	phylum
Hymenoptera#order	Hymenoptera#order	order
Ichthyosaur#order	Reptile#class	class
Iguanodon#genus	Dinosaur#superorder	superorder
Inachis_io#species	Lepidoptera#order	order
Indian_Peafowl#species	Bird#class	class
Indian_Rhinoceros#species	Mammal#class	class
Indo-Pacific_bottlenose_dolphin#species	Cetacea#order	order
Indri#species	Primate#order	order
Inland_Taipan#species	Snake#suborder	suborder
Irish_Elk#species	Even-toed_ungulate#order	order
Jackdaw#species	Passerine#order	order
Jaguar#species	Carnivora#order	order
Japanese_giant_salamander#species	Amphibian#class	class
Japanese_Macaque#species	Primate#order	order
Kagu#species	Bird#class	class
Kakapo#species	Bird#class	class
Kea#species	Bird#class	class
Killer_whale#species	Cetacea#order	order
King_Bird_of_Paradise#species	Passerine#order	order
King_Cobra#species	Snake#suborder	suborder
King_Penguin#species	Bird#class	class
Kipunji#species	Primate#order	order
Koala#species	Mammal#class	class
Komodo_dragon#species	Lizard#suborder	suborder
Koolasuchus#genus	Amphibian#class	class
Lac_Alaotra_Bamboo_Lemur#species	Primate#order	order
Lagomorpha#order	Mammal#class	class
Lamniformes#order	Chordate#phylum	phylum
Lampyris_noctiluca#species	Insect#class	class
Large_Blue_butterfly#species	Lepidoptera#order	order
Large_White#species	Lepidoptera#order	order
Lar_Gibbon#species	Primate#order	order
Laticauda_colubrina#species	Snake#suborder	suborder
Latimeria#genus	Chordate#phylum	phylum
Lawess_Parotia#species	Passerine#order	order
Leaellynasaura#genus	Dinosaur#superorder	superorder
Leafy_sea_dragon#species	Actinopterygii#class	class
Least_Weasel#species	Carnivora#order	order
Lemming#tribe	Rodent#order	order
Lemon_shark#species	Chordate#phylum	phylum
Leopard_Cat#species	Carnivora#order	order
Leopard#species	Carnivora#order	order
Leopard_Seal#species	Carnivora#order	order
Lepidoptera#order	Lepidoptera#order	order
Leptictidium#genus	Mammal#class	class
Leptodactylus_fallax#species	Amphibian#class	class
Lesser_Black-backed_Gull#species	Charadriiformes#order	order
Lesser_Flamingo#species	Bird#class	class
Lesser_horseshoe_bat#species	Bat#order	order
Linnet#species	Passerine#order	order
Linyphiidae#family	Arthropod#phylum	phylum
Lion#species	Carnivora#order	order
Liphistius#genus	Arthropod#phylum	phylum
Litoria#genus	Amphibian#class	class
Little_Bent-wing_Bat#species	Bat#order	order
Little_Corella#species	Bird#class	class
Little_Owl#species	Bird#class	class
