taxon	group	level
Gasterosteiformes#order	Actinopterygii#class	class
Gentianales#order	Dicotyledon#class	class
Haplotaxida#order	Life#life	life
Lamprey#order	Chordate#phylum	phylum
Leptictida#order	Mammal#class	class
Liliales#order	Monocotyledon#class	class
Litopterna#order	Mammal#class	class
Macroscelidea#order	Mammal#class	class
Mesonychid#order	Mammal#class	class
Monotreme#order	Mammal#class	class
Neogastropoda#order	Mollusca#phylum	phylum
Osteoglossiformes#order	Actinopterygii#class	class
Ostreoida#order	Life#life	life
Pholidota#order	Mammal#class	class
Piciformes#order	Bird#class	class
Podicipediformes#order	Bird#class	class
Ranunculales#order	Dicotyledon#class	class
Rauisuchia#order	Reptile#class	class
Rosales#order	Dicotyledon#class	class
Salmoniformes#order	Actinopterygii#class	class
Santalales#order	Dicotyledon#class	class
Semaeostomeae#order	Animal#kingdom	kingdom
Stylommatophora#order	Mollusca#phylum	phylum
Syngnathiformes#order	Actinopterygii#class	class
Theales#order	Dicotyledon#class	class
Valvatida#order	Animal#kingdom	kingdom
Ascomycota#phylum	Fungus#kingdom	kingdom
Basidiomycota#phylum	Fungus#kingdom	kingdom
Haptophyte#phylum	Life#life	life
Zygomycota#phylum	Fungus#kingdom	kingdom
Ichthyopterygia#superorder	Reptile#class	class
Sauropterygia#superorder	Reptile#class	class
