	0
1675	short-beaked common dolphin
1676	common dolphin
1677	hourglass dolphin
1678	short-eared owl
1679	short-tailed shearwater
1680	moonbird
1681	muttonbird
1682	slender-billed shearwater
1683	yolla
1684	siamang
1685	silky sifaka
1686	dugongs and manatees
1687	sirenia
1688	skimmers
1689	rynchops
1690	slow lorises
1691	nycticebus
1692	smilodon
1693	sabre-toothed cats
1694	snakes
1695	snares crested penguin
1696	snow leopard
1697	snow petrel
1698	sockeye salmon
1699	camel spiders
1700	solifugae
1701	sun spider
1702	wind scorpion
1703	song thrush
1704	ring-tailed coati
1705	chilla
1706	southern sea lion
1707	southern carmine bee-eater
1708	southern elephant seal
1709	southern right whale
1710	southern three-banded armadillo
1711	south polar skua
1712	spectacled bear
1713	spectacled eider
1714	sperm whale
1715	spiders
1716	spider wasps
1717	pompilidae
1718	spider-hunting wasps
1719	spinosaurus 
1720	little blue macaw
1721	spotted flycatcher
1722	spotted hyena
1723	laughing hyena
1724	springbok
1725	springbuck
1726	squamata
1727	squid
1728	teuthida
1729	stag beetles
1730	northern sea lion
1731	stingrays
1732	stoat
1733	mustela erminea
1734	stock dove
1735	stock pigeon
1736	straw-coloured fruit bat
1737	striped skunk
1738	purple sea urchin
1739	sunflower sea star
1740	superb lyrebird
1741	tambaqui
1742	pacu
1743	dandelions
1744	tarsiers
1745	tarsius
1746	tawny owl
1747	common yew
1748	tenrecs
1749	tenrecidae
1750	termites
1751	isoptera
1752	white ants
1753	eastern box turtle
1754	common box turtle
1755	bush crickets
1756	katydids
1757	long-horned grasshoppers
1758	therapsids
1759	therapsida
1760	theropod dinosaurs
1761	theropoda
1762	thick-billed murre
1763	tommie
1764	thorny devil
1765	moloch
1766	thorny dragon
1767	thorny lizard
1768	three-spined stickleback
1769	tiddler
1770	armoured dinosaurs
1771	thyreophora
1772	sand fox
1773	tiger quoll
1774	spotted-tailed quoll
1775	tiger shark
1776	shingleback skink
1777	bobtail
1778	pinecone lizard
1779	sleepy lizard
1780	long-tailed mayfly
1781	titan arum
1782	corpse flower
1783	corpse plant
1784	topi
1785	korrigum
1786	tiang
1787	toque macaque
1788	trilobites
1789	tufted capuchin
1790	black-capped capuchin
1791	brown capuchin
1792	tulips
1793	tulipa
1794	tundra swan
1795	testudines
1796	chelonians
1797	testudinata
1798	turtle dove
1799	flat-tailed geckos
1800	candirus
1801	toothpick fish
1802	velociraptor
1803	common wasp
1804	vespula vulgaris
1805	violets and pansies
1806	viola
1807	heartsease
1808	pansy
1809	common lizard
1810	viviparous lizard
1811	walia ibex
1812	walrus
1813	wandering albatross
1814	warthog
1815	water monitor
1816	waved albatross
1817	capercaillie
1818	western gorilla
1819	gorilla gorilla
1820	western red colobus
1821	red colobus
1822	whale shark
1823	whinchat
1824	whitebark pine
1825	creeping pine
1826	pitch pine
1827	scrub pine
1828	white-fronted bee-eater
1829	white-nosed coati
1830	antoon
1831	pizote
1832	white rhinoceros
1833	square-lipped rhinoceros
1834	ern
1835	erne
1836	sea eagle
1837	white-tailed eagle
1838	dipper
1839	white-throated dipper 
1840	pied wagtail
1841	white wagtail
1842	whooper swan
1843	wild boar
1844	boar
1845	wild hog
1846	wildcat
1847	wild-cat
1848	wild horse
1849	willow warbler
1850	willow wren
1851	wire-tailed manakin
1852	wolverine
1853	gulo gulo
1854	carcajou
1855	glutton
1856	quickhatch
1857	skunk bear
1858	wood mouse
1859	field mouse
1860	long-tailed field mouse
1861	wood warbler
1862	woolly mammoth
1863	woolly rhinoceros
1864	yacare caiman
1865	yellow-bellied glider
1866	fluffy glider
1867	yellow meadow ant
1868	meadow ant
1869	yellow ant
1870	zebra finch
1871	burnet moth
1872	forester moths
1873	smoky moths
1874	afrosoricida
1875	anseriformes
1876	asterales
1877	columbiformes
1878	gentianales
1879	liliales
1880	mesonychia
1881	pholidota
1882	rauisuchia
1883	stylommatophora
1884	basidiomycota
1885	haptophyte
1886	zygomycota
1887	ichthyopterygia
1888	sauropterygia
