source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	44.92	0.02	19.78	0.0	0.16	24.36	10.76	Animal__kingdom	56
adaptation_topic	0.0	49.15	6.08	0.0	0.32	17.13	27.33	Animal__kingdom	83
free_topic	0.0	0.0	69.21	0.0	0.03	18.79	11.97	Animal__kingdom	982
location_comment	0.0	0.02	27.58	37.86	0.18	18.9	15.46	Animal__kingdom	52
location_topic	0.0	0.05	17.38	0.0	42.19	11.35	29.03	Animal__kingdom	99
taxongroup_comment	0.0	0.0	16.31	0.0	0.07	61.13	22.49	Animal__kingdom	503
taxongroup_topic	0.0	0.01	10.41	0.0	0.15	32.33	57.1	Animal__kingdom	491
