feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
obj<obl>case> for,0.764,0.027,0.577,0.134,2,Animal__kingdom,taxongroup_topic
case> for,0.761,0.028,0.627,0.096,10,Animal__kingdom,taxongroup_topic
nmod>conj>cc> and,0.761,0.028,0.577,0.134,3,Animal__kingdom,taxongroup_topic
compound<nsubj<cop> be,-0.761,0.028,-0.546,0.162,3,Animal__kingdom,taxongroup_topic
nsubj<advcl>mark> as,-0.758,0.029,-0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj>cc> or,0.756,0.03,0.577,0.134,7,Animal__kingdom,taxongroup_topic
conj> ...,0.754,0.031,0.627,0.096,80,Animal__kingdom,taxongroup_topic
nsubj<obl> ancestor,0.751,0.032,0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj>cc> and,0.749,0.033,0.196,0.641,47,Animal__kingdom,taxongroup_topic
nmod<obl< similar,0.747,0.033,0.577,0.134,2,Animal__kingdom,taxongroup_topic
amod> processe,-0.746,0.034,-0.756,0.03,2,Animal__kingdom,taxongroup_topic
nsubj:pass<obl> ...,0.745,0.034,0.218,0.604,8,Animal__kingdom,taxongroup_topic
conj<conj>cc> ...,0.742,0.035,0.733,0.039,3,Animal__kingdom,taxongroup_topic
nsubj<nmod>amod> other,0.74,0.036,0.577,0.134,2,Animal__kingdom,taxongroup_topic
appos<nmod<nmod< ...,0.739,0.036,0.733,0.039,3,Animal__kingdom,taxongroup_topic
nsubj:pass<aux> have,0.738,0.037,0.845,0.008,3,Animal__kingdom,taxongroup_topic
nmod<det> some,0.737,0.037,0.733,0.039,4,Animal__kingdom,taxongroup_topic
compound<cc> and,-0.736,0.037,-0.577,0.134,3,Animal__kingdom,taxongroup_topic
nsubj<nmod>case> to,0.733,0.039,0.756,0.03,2,Animal__kingdom,taxongroup_topic
appos<conj>cc> and,0.731,0.039,0.873,0.005,6,Animal__kingdom,taxongroup_topic
obl<conj> ...,0.731,0.039,0.764,0.027,5,Animal__kingdom,taxongroup_topic
nsubj< have,0.728,0.041,0.327,0.429,15,Animal__kingdom,taxongroup_topic
nmod<acl> ...,0.726,0.041,0.655,0.078,6,Animal__kingdom,taxongroup_topic
cc> or,0.725,0.042,0.846,0.008,6,Animal__kingdom,taxongroup_topic
nsubj<det> a,0.72,0.044,0.873,0.005,14,Animal__kingdom,taxongroup_topic
nsubj>det> the,0.719,0.044,0.655,0.078,3,Animal__kingdom,taxongroup_topic
nsubj<obj> system,0.718,0.045,0.546,0.162,3,Animal__kingdom,taxongroup_topic
obj<obl>case> ...,0.715,0.046,0.577,0.134,3,Animal__kingdom,taxongroup_topic
nsubj<obl>case> ...,0.71,0.049,0.764,0.027,5,Animal__kingdom,taxongroup_topic
nsubj<advmod> not,0.702,0.052,0.764,0.027,4,Animal__kingdom,taxongroup_topic
nsubj< become,0.698,0.054,0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj< jelly,0.692,0.057,0.63,0.094,2,Animal__kingdom,taxongroup_topic
nmod< form,0.691,0.058,0.63,0.094,2,Animal__kingdom,taxongroup_topic
nmod<nsubj<obl> ...,-0.689,0.059,-0.436,0.28,8,Animal__kingdom,taxongroup_topic
appos>amod> ...,0.688,0.059,0.436,0.28,6,Animal__kingdom,taxongroup_topic
nmod<det> a,0.688,0.059,0.682,0.062,15,Animal__kingdom,taxongroup_topic
nsubj<obj>amod> ...,0.688,0.059,0.733,0.039,16,Animal__kingdom,taxongroup_topic
nsubj<obl>case> than,0.687,0.06,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nsubj<advcl<nsubj> ...,0.686,0.06,0.577,0.134,6,Animal__kingdom,taxongroup_topic
acl:relcl>advmod> ...,-0.685,0.061,-0.845,0.008,3,Animal__kingdom,taxongroup_topic
nsubj<nmod>nummod> marine,0.682,0.063,0.577,0.134,2,Animal__kingdom,taxongroup_topic
case> than,0.68,0.063,0.577,0.134,4,Animal__kingdom,taxongroup_topic
compound> class,-0.679,0.064,-0.764,0.027,4,Animal__kingdom,taxongroup_topic
nsubj< ...,0.675,0.066,0.683,0.062,59,Animal__kingdom,taxongroup_topic
compound<nmod<amod> ...,-0.675,0.067,-0.756,0.03,4,Animal__kingdom,taxongroup_topic
appos< ...,0.673,0.068,0.701,0.053,21,Animal__kingdom,taxongroup_topic
det> the,0.672,0.068,0.488,0.22,71,Animal__kingdom,taxongroup_topic
nsubj<obl>case> in,0.67,0.069,0.866,0.005,13,Animal__kingdom,taxongroup_topic
nsubj<advcl<obj> ...,0.668,0.07,0.577,0.134,3,Animal__kingdom,taxongroup_topic
nsubj<advmod> ...,0.667,0.071,0.866,0.005,15,Animal__kingdom,taxongroup_topic
nmod<cc> and,0.667,0.071,0.436,0.28,3,Animal__kingdom,taxongroup_topic
appos>compound> ...,0.666,0.071,0.764,0.027,9,Animal__kingdom,taxongroup_topic
appos< starfish,0.663,0.073,0.733,0.039,3,Animal__kingdom,taxongroup_topic
nmod:poss> Nomura,0.661,0.074,0.732,0.039,3,Animal__kingdom,taxongroup_topic
conj>compound> animal,0.653,0.079,0.63,0.094,2,Animal__kingdom,taxongroup_topic
appos<appos>flat> auriof,0.653,0.079,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nsubj<obl>case> to,0.653,0.079,0.577,0.134,4,Animal__kingdom,taxongroup_topic
nsubj<obl>case> on,0.651,0.08,0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj< include,0.648,0.082,0.62,0.101,3,Animal__kingdom,taxongroup_topic
obl<obl>case> ...,0.642,0.086,0.577,0.134,2,Animal__kingdom,taxongroup_topic
case> include,0.641,0.087,0.894,0.003,9,Animal__kingdom,taxongroup_topic
nsubj<acl:relcl> have,0.638,0.089,0.63,0.094,2,Animal__kingdom,taxongroup_topic
nmod<det> another,0.638,0.089,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nsubj<advmod> also,0.636,0.09,0.577,0.134,6,Animal__kingdom,taxongroup_topic
compound>amod> ...,0.635,0.091,0.577,0.134,1,Animal__kingdom,taxongroup_topic
appos<nsubj<conj> ...,-0.632,0.093,-0.577,0.134,1,Animal__kingdom,taxongroup_topic
obl<mark> for,0.631,0.094,0.412,0.31,2,Animal__kingdom,taxongroup_topic
conj<nsubj> which,0.63,0.094,0.378,0.356,2,Animal__kingdom,taxongroup_topic
appos<flat> ...,0.628,0.096,0.546,0.162,5,Animal__kingdom,taxongroup_topic
nmod<obl<obl> ...,0.627,0.096,0.736,0.037,6,Animal__kingdom,taxongroup_topic
compound< abundance,0.624,0.098,0.63,0.094,2,Animal__kingdom,taxongroup_topic
obl<mark> that,0.622,0.1,0.412,0.31,2,Animal__kingdom,taxongroup_topic
nsubj<ccomp<nsubj:pass> it,0.622,0.1,0.546,0.162,3,Animal__kingdom,taxongroup_topic
nsubj< form,0.621,0.1,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nmod<obl<nsubj> ...,0.621,0.1,0.729,0.04,10,Animal__kingdom,taxongroup_topic
obj<advmod> also,0.62,0.101,0.577,0.134,3,Animal__kingdom,taxongroup_topic
obj<obl>case> in,0.618,0.103,0.546,0.162,3,Animal__kingdom,taxongroup_topic
nsubj<obj>nmod> ...,0.617,0.103,0.655,0.078,12,Animal__kingdom,taxongroup_topic
appos>compound> Acanthaster,0.616,0.104,0.63,0.094,2,Animal__kingdom,taxongroup_topic
conj<parataxis<conj> ...,0.613,0.106,0.577,0.134,5,Animal__kingdom,taxongroup_topic
obl< catch,0.613,0.106,0.756,0.03,2,Animal__kingdom,taxongroup_topic
nmod<nsubj<amod> ...,0.612,0.107,0.577,0.134,4,Animal__kingdom,taxongroup_topic
nsubj<obl>det> all,0.611,0.107,0.577,0.134,2,Animal__kingdom,taxongroup_topic
appos<conj> Hydrozoa,0.61,0.108,0.733,0.039,4,Animal__kingdom,taxongroup_topic
obl<obj>amod> ...,0.61,0.108,0.412,0.31,5,Animal__kingdom,taxongroup_topic
obj<conj<nsubj> ...,0.609,0.109,0.655,0.078,3,Animal__kingdom,taxongroup_topic
nsubj<advmod> very,0.606,0.111,0.577,0.134,2,Animal__kingdom,taxongroup_topic
appos<appos>flat> ...,0.606,0.112,0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj<obj<advcl> ...,0.605,0.112,0.577,0.134,1,Animal__kingdom,taxongroup_topic
nsubj<obl>det> a,0.602,0.115,0.655,0.078,5,Animal__kingdom,taxongroup_topic
nmod<det> the,0.6,0.116,0.495,0.213,25,Animal__kingdom,taxongroup_topic
compound<obl<conj> ...,-0.598,0.117,-0.62,0.101,3,Animal__kingdom,taxongroup_topic
appos> jelly,0.597,0.119,0.577,0.134,2,Animal__kingdom,taxongroup_topic
obj<advcl>advmod> ...,0.596,0.119,0.577,0.134,3,Animal__kingdom,taxongroup_topic
nmod<obl<advmod> ...,0.595,0.12,0.77,0.025,5,Animal__kingdom,taxongroup_topic
conj> crustacean,0.593,0.121,0.412,0.31,4,Animal__kingdom,taxongroup_topic
obl<nsubj> echinoderm,0.592,0.122,0.412,0.31,2,Animal__kingdom,taxongroup_topic
conj> mollusc,0.591,0.123,0.412,0.31,3,Animal__kingdom,taxongroup_topic
conj> urchin,0.591,0.123,0.412,0.31,6,Animal__kingdom,taxongroup_topic
conj<amod> small,0.591,0.123,0.504,0.203,2,Animal__kingdom,taxongroup_topic
nsubj<advmod> closely,0.589,0.125,0.577,0.134,2,Animal__kingdom,taxongroup_topic
appos>det> ...,0.589,0.125,0.536,0.171,4,Animal__kingdom,taxongroup_topic
nsubj<obj>conj> ...,0.587,0.126,0.577,0.134,5,Animal__kingdom,taxongroup_topic
acl>obl>case> as,0.586,0.127,0.504,0.203,2,Animal__kingdom,taxongroup_topic
nmod>det> the,0.586,0.127,0.187,0.657,8,Animal__kingdom,taxongroup_topic
appos<nmod>case> of,0.586,0.127,0.514,0.192,3,Animal__kingdom,taxongroup_topic
conj> crinoid,0.585,0.128,0.412,0.31,3,Animal__kingdom,taxongroup_topic
appos<list> ...,0.585,0.128,0.577,0.134,3,Animal__kingdom,taxongroup_topic
acl:relcl>obl>case> ...,0.583,0.129,0.514,0.192,3,Animal__kingdom,taxongroup_topic
appos> anemone,0.582,0.13,0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj> cucumber,0.582,0.13,0.412,0.31,7,Animal__kingdom,taxongroup_topic
nsubj<acl:relcl>nsubj> which,0.582,0.13,0.733,0.039,3,Animal__kingdom,taxongroup_topic
acl>obj> ...,0.579,0.133,0.456,0.256,5,Animal__kingdom,taxongroup_topic
nsubj<xcomp>obl> ...,0.578,0.134,0.577,0.134,3,Animal__kingdom,taxongroup_topic
nsubj:pass<advcl>obj> ...,0.578,0.134,0.546,0.162,3,Animal__kingdom,taxongroup_topic
conj> jelly,0.576,0.135,0.412,0.31,4,Animal__kingdom,taxongroup_topic
conj> coral,0.573,0.138,0.412,0.31,6,Animal__kingdom,taxongroup_topic
obl<nsubj>conj> ...,0.572,0.138,0.412,0.31,3,Animal__kingdom,taxongroup_topic
obl< ...,0.57,0.14,0.862,0.006,35,Animal__kingdom,taxongroup_topic
appos> Cubozoa,0.568,0.142,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nmod<nmod>case> ...,-0.565,0.144,-0.218,0.604,5,Animal__kingdom,taxongroup_topic
nsubj<advcl> ...,0.563,0.146,0.682,0.062,19,Animal__kingdom,taxongroup_topic
det> all,0.562,0.147,0.378,0.356,2,Animal__kingdom,taxongroup_topic
parataxis< ...,0.562,0.147,0.514,0.192,4,Animal__kingdom,taxongroup_topic
nmod<nsubj>det> the,0.56,0.149,0.483,0.225,3,Animal__kingdom,taxongroup_topic
conj< ...,0.558,0.15,0.672,0.068,33,Animal__kingdom,taxongroup_topic
