feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj<obl>case> into,0.785,0.021,0.546,0.162,3,Animal__kingdom,free_topic
acl>aux> have,-0.784,0.021,-0.764,0.027,4,Animal__kingdom,free_topic
nmod>case> with,0.784,0.021,0.6,0.116,16,Animal__kingdom,free_topic
obl<acl:relcl<case> by,0.783,0.022,0.577,0.134,2,Animal__kingdom,free_topic
conj< ...,0.782,0.022,0.781,0.022,58,Animal__kingdom,free_topic
nsubj<obl>det> a,0.78,0.022,0.218,0.604,9,Animal__kingdom,free_topic
obl<mark> ...,0.779,0.023,0.764,0.027,3,Animal__kingdom,free_topic
obl<acl<obl< ...,0.777,0.023,0.436,0.28,3,Animal__kingdom,free_topic
det> the,0.777,0.023,0.707,0.05,213,Animal__kingdom,free_topic
obl<appos>amod> african,0.775,0.024,0.577,0.134,2,Animal__kingdom,free_topic
acl:relcl>obl> ...,0.775,0.024,0.546,0.162,24,Animal__kingdom,free_topic
compound<compound<conj< ...,-0.775,0.024,-0.764,0.027,3,Animal__kingdom,free_topic
conj<appos> ...,0.775,0.024,0.218,0.604,9,Animal__kingdom,free_topic
compound<nsubj<conj> ...,-0.774,0.024,-0.756,0.03,4,Animal__kingdom,free_topic
nmod> species,0.773,0.024,0.577,0.134,3,Animal__kingdom,free_topic
compound<obl<obj> ...,-0.771,0.025,-0.764,0.027,3,Animal__kingdom,free_topic
nmod>case> for,0.771,0.025,0.577,0.134,5,Animal__kingdom,free_topic
nmod<obl<obl> ...,0.77,0.025,0.791,0.019,12,Animal__kingdom,free_topic
conj<nmod>det> the,0.77,0.025,0.674,0.067,4,Animal__kingdom,free_topic
acl:relcl>obj>nmod:poss> they,0.769,0.026,0.756,0.03,2,Animal__kingdom,free_topic
nmod>amod> other,0.769,0.026,0.577,0.134,2,Animal__kingdom,free_topic
case> for,0.769,0.026,0.792,0.019,21,Animal__kingdom,free_topic
nmod>nmod> year,0.767,0.026,0.756,0.03,2,Animal__kingdom,free_topic
nmod> America,0.767,0.027,0.577,0.134,3,Animal__kingdom,free_topic
obl<conj>nmod> ...,0.764,0.027,0.764,0.027,3,Animal__kingdom,free_topic
obl<appos>amod> gray,0.764,0.027,0.577,0.134,2,Animal__kingdom,free_topic
nmod<obl<mark> although,0.763,0.028,0.756,0.03,2,Animal__kingdom,free_topic
nsubj<obl>det> the,0.761,0.028,0.577,0.134,9,Animal__kingdom,free_topic
nmod>nmod> ...,0.76,0.029,0.764,0.027,19,Animal__kingdom,free_topic
det> all,0.76,0.029,0.866,0.005,5,Animal__kingdom,free_topic
nsubj<obl> ...,0.758,0.029,0.655,0.078,56,Animal__kingdom,free_topic
nsubj:pass<advmod> later,0.755,0.03,0.756,0.03,2,Animal__kingdom,free_topic
compound<nmod>det> ...,0.754,0.031,0.577,0.134,1,Animal__kingdom,free_topic
conj<case> in,0.752,0.031,0.655,0.078,4,Animal__kingdom,free_topic
nmod<nmod<conj> horse,0.751,0.032,0.577,0.134,2,Animal__kingdom,free_topic
compound<nsubj<obl> ...,-0.75,0.032,-0.709,0.049,8,Animal__kingdom,free_topic
