feat	count	weight	rel_role	group_name
acl:relcl>obl>det> ...	2.0	0.371	adaptation_comment	Animal__kingdom
obj<nsubj> ...	2.0	0.299	adaptation_comment	Animal__kingdom
acl:relcl>advmod> ...	2.0	0.307	adaptation_comment	Animal__kingdom
obj<aux> ...	2.0	0.336	adaptation_comment	Animal__kingdom
obl<obj> ...	2.0	0.537	adaptation_comment	Animal__kingdom
advcl> ...	2.0	0.386	adaptation_comment	Animal__kingdom
conj<nmod>case> ...	2.0	0.57	adaptation_comment	Animal__kingdom
obl<acl:relcl< ...	2.0	0.306	adaptation_comment	Animal__kingdom
obl<acl:relcl<amod> ...	2.0	0.361	adaptation_comment	Animal__kingdom
obl<acl:relcl<case> ...	2.0	0.302	adaptation_comment	Animal__kingdom
obl<advmod> not	2.0	0.246	adaptation_comment	Animal__kingdom
conj<nmod> ...	2.0	0.543	adaptation_comment	Animal__kingdom
acl:relcl>obl> ...	2.0	0.313	adaptation_comment	Animal__kingdom
nsubj<aux> ...	2.0	0.594	adaptation_comment	Animal__kingdom
conj<amod> ...	2.0	0.867	adaptation_comment	Animal__kingdom
obl<conj< ...	2.0	0.354	adaptation_comment	Animal__kingdom
obl<cc> ...	2.0	0.504	adaptation_comment	Animal__kingdom
obl<mark> ...	2.0	0.647	adaptation_comment	Animal__kingdom
compound<nmod< ...	2.0	0.217	adaptation_comment	Animal__kingdom
compound<case> ...	2.0	0.297	adaptation_comment	Animal__kingdom
compound<conj< ...	2.0	0.607	adaptation_comment	Animal__kingdom
amod<nmod>det> the	2.0	0.414	adaptation_comment	Animal__kingdom
amod< mammal	2.0	0.603	adaptation_comment	Animal__kingdom
obj<nmod>conj> ...	2.0	0.422	adaptation_comment	Animal__kingdom
acl:relcl>obj> ...	2.0	0.298	adaptation_comment	Animal__kingdom
amod< species	2.0	0.574	adaptation_comment	Animal__kingdom
nsubj<advcl>mark> ...	2.0	0.77	adaptation_comment	Animal__kingdom
nmod<nmod<nsubj< ...	2.0	0.381	adaptation_comment	Animal__kingdom
nsubj<advcl>obj> ...	2.0	0.316	adaptation_comment	Animal__kingdom
nmod<obl< ...	2.0	0.362	adaptation_comment	Animal__kingdom
nsubj>det> the	2.0	0.57	adaptation_comment	Animal__kingdom
conj<nsubj>appos> ...	2.0	0.172	adaptation_comment	Animal__kingdom
nsubj<advmod> not	2.0	1.024	adaptation_comment	Animal__kingdom
nsubj<obl>det> ...	2.0	0.718	adaptation_comment	Animal__kingdom
conj<nsubj>amod> ...	2.0	0.286	adaptation_comment	Animal__kingdom
nsubj<obl>amod> ...	2.0	0.709	adaptation_comment	Animal__kingdom
obl<nsubj> which	2.0	0.782	adaptation_comment	Animal__kingdom
nsubj<conj>amod> ...	2.0	0.474	adaptation_comment	Animal__kingdom
obl<parataxis<obl> ...	2.0	0.383	adaptation_comment	Animal__kingdom
conj<case> for	2.0	0.362	adaptation_comment	Animal__kingdom
obl<aux> ...	2.0	0.745	adaptation_comment	Animal__kingdom
nsubj<conj>nmod> ...	2.0	0.264	adaptation_comment	Animal__kingdom
advmod> mostly	2.0	0.418	adaptation_comment	Animal__kingdom
parataxis<amod> ...	2.0	0.464	adaptation_comment	Animal__kingdom
obj<obl>case> for	2.0	0.642	adaptation_comment	Animal__kingdom
obl<nsubj>det> ...	2.0	0.503	adaptation_comment	Animal__kingdom
conj<nsubj>nmod> ...	2.0	0.342	adaptation_comment	Animal__kingdom
amod> other	2.0	1.396	adaptation_comment	Animal__kingdom
det> a	2.0	1.284	adaptation_comment	Animal__kingdom
compound<obj< ...	2.0	0.581	adaptation_comment	Animal__kingdom
parataxis<nsubj>det> ...	1.0	0.499	adaptation_comment	Animal__kingdom
parataxis<conj>cc> ...	1.0	0.389	adaptation_comment	Animal__kingdom
parataxis<det> ...	1.0	0.442	adaptation_comment	Animal__kingdom
conj>nmod>nmod:poss> ...	1.0	0.28	adaptation_comment	Animal__kingdom
parataxis<nmod>case> ...	1.0	0.328	adaptation_comment	Animal__kingdom
parataxis< ...	1.0	0.301	adaptation_comment	Animal__kingdom
parataxis<nsubj> ...	1.0	0.748	adaptation_comment	Animal__kingdom
parataxis<cop> ...	1.0	0.475	adaptation_comment	Animal__kingdom
parataxis<nmod> ...	1.0	0.203	adaptation_comment	Animal__kingdom
compound<obj<aux> ...	1.0	0.339	adaptation_comment	Animal__kingdom
conj>det> ...	1.0	0.612	adaptation_comment	Animal__kingdom
conj>case> ...	1.0	0.647	adaptation_comment	Animal__kingdom
nsubj>appos> ...	1.0	0.359	adaptation_comment	Animal__kingdom
conj>nummod> ...	1.0	0.669	adaptation_comment	Animal__kingdom
parataxis<appos> ...	1.0	0.536	adaptation_comment	Animal__kingdom
parataxis<conj> ...	1.0	0.394	adaptation_comment	Animal__kingdom
conj<conj>advmod> ...	1.0	0.573	adaptation_comment	Animal__kingdom
conj>cop> ...	1.0	0.503	adaptation_comment	Animal__kingdom
conj<conj>obj> ...	1.0	0.305	adaptation_comment	Animal__kingdom
conj<nsubj>compound> ...	1.0	0.627	adaptation_comment	Animal__kingdom
obj<ccomp<aux> ...	1.0	0.521	adaptation_comment	Animal__kingdom
nsubj<advmod>advmod> ...	1.0	0.378	adaptation_comment	Animal__kingdom
nmod>case>fixed> ...	1.0	0.427	adaptation_comment	Animal__kingdom
nsubj<mark> ...	1.0	0.428	adaptation_comment	Animal__kingdom
nsubj<acl< ...	1.0	0.359	adaptation_comment	Animal__kingdom
nmod<nsubj<ccomp> ...	1.0	0.448	adaptation_comment	Animal__kingdom
obj<obl>advmod> ...	1.0	0.57	adaptation_comment	Animal__kingdom
obj<obl>det> ...	1.0	0.611	adaptation_comment	Animal__kingdom
obj<obl> ...	1.0	0.294	adaptation_comment	Animal__kingdom
obj<advcl>mark> ...	1.0	0.455	adaptation_comment	Animal__kingdom
obj<advcl> ...	1.0	0.676	adaptation_comment	Animal__kingdom
nmod<nsubj< ...	1.0	0.668	adaptation_comment	Animal__kingdom
advcl>obj> ...	1.0	0.248	adaptation_comment	Animal__kingdom
nmod>nmod> ...	1.0	0.426	adaptation_comment	Animal__kingdom
obj<ccomp< ...	1.0	0.291	adaptation_comment	Animal__kingdom
obj<ccomp<nsubj> ...	1.0	0.303	adaptation_comment	Animal__kingdom
conj<nsubj>det> ...	1.0	0.334	adaptation_comment	Animal__kingdom
nmod>amod> ...	1.0	0.535	adaptation_comment	Animal__kingdom
appos>conj>cc> ...	1.0	0.405	adaptation_comment	Animal__kingdom
conj>nmod>det> ...	1.0	0.633	adaptation_comment	Animal__kingdom
nmod<parataxis< ...	1.0	0.263	adaptation_comment	Animal__kingdom
nmod<obj>amod> ...	1.0	0.487	adaptation_comment	Animal__kingdom
nmod<obj> ...	1.0	0.495	adaptation_comment	Animal__kingdom
nmod<conj>cc> ...	1.0	0.134	adaptation_comment	Animal__kingdom
nmod<conj>amod> ...	1.0	0.208	adaptation_comment	Animal__kingdom
nmod<conj> ...	1.0	0.248	adaptation_comment	Animal__kingdom
nmod<conj>acl> ...	1.0	0.445	adaptation_comment	Animal__kingdom
compound<nmod<obj< ...	1.0	0.312	adaptation_comment	Animal__kingdom
obl<amod<acl:relcl> ...	1.0	0.681	adaptation_comment	Animal__kingdom
obl<amod< ...	1.0	0.296	adaptation_comment	Animal__kingdom
nsubj<advcl>xcomp> ...	1.0	0.618	adaptation_comment	Animal__kingdom
nsubj<advmod>obl> ...	1.0	0.67	adaptation_comment	Animal__kingdom
nsubj>appos>compound> ...	1.0	0.304	adaptation_comment	Animal__kingdom
conj>nmod>amod> ...	1.0	0.499	adaptation_comment	Animal__kingdom
compound<case> of	1.0	0.281	adaptation_comment	Animal__kingdom
conj>aux:pass> ...	1.0	0.317	adaptation_comment	Animal__kingdom
conj<nsubj>det> the	1.0	0.334	adaptation_comment	Animal__kingdom
conj>nmod>nmod> ...	1.0	0.271	adaptation_comment	Animal__kingdom
obl<conj>cc> and	1.0	0.516	adaptation_comment	Animal__kingdom
nsubj<mark> that	1.0	0.471	adaptation_comment	Animal__kingdom
nmod>case> such	1.0	0.79	adaptation_comment	Animal__kingdom
nmod>case>fixed> as	1.0	0.427	adaptation_comment	Animal__kingdom
nsubj<aux> may	1.0	0.58	adaptation_comment	Animal__kingdom
nsubj<obl>case> to	1.0	1.022	adaptation_comment	Animal__kingdom
nsubj<obl>amod> visual	1.0	0.808	adaptation_comment	Animal__kingdom
nsubj<advmod>advmod> more	1.0	0.381	adaptation_comment	Animal__kingdom
nsubj<advcl> make	1.0	0.846	adaptation_comment	Animal__kingdom
nsubj> species	1.0	0.335	adaptation_comment	Animal__kingdom
conj>nmod>det> the	1.0	0.633	adaptation_comment	Animal__kingdom
conj>aux:pass> be	1.0	0.317	adaptation_comment	Animal__kingdom
conj>obl>case> as	1.0	0.37	adaptation_comment	Animal__kingdom
appos< ...	1.0	0.503	adaptation_comment	Animal__kingdom
parataxis<cop> be	1.0	0.475	adaptation_comment	Animal__kingdom
parataxis<det> the	1.0	0.442	adaptation_comment	Animal__kingdom
appos<compound> ...	1.0	0.702	adaptation_comment	Animal__kingdom
conj<nmod>det> ...	1.0	0.237	adaptation_comment	Animal__kingdom
flat> ...	1.0	0.37	adaptation_comment	Animal__kingdom
obl<conj<obj> ...	1.0	0.253	adaptation_comment	Animal__kingdom
obl<conj<nsubj> ...	1.0	0.578	adaptation_comment	Animal__kingdom
obl<nsubj>conj> ...	1.0	0.485	adaptation_comment	Animal__kingdom
obl<acl:relcl<nmod< ...	1.0	0.419	adaptation_comment	Animal__kingdom
obl<obl>appos> ...	1.0	0.315	adaptation_comment	Animal__kingdom
nsubj<obl>nmod> ...	1.0	0.217	adaptation_comment	Animal__kingdom
advcl>obl>case> ...	1.0	0.512	adaptation_comment	Animal__kingdom
obl<obl>compound> ...	1.0	0.588	adaptation_comment	Animal__kingdom
conj>aux> ...	1.0	0.585	adaptation_comment	Animal__kingdom
xcomp< ...	1.0	0.258	adaptation_comment	Animal__kingdom
obl<advcl>mark> ...	1.0	0.593	adaptation_comment	Animal__kingdom
obl<parataxis< ...	1.0	0.366	adaptation_comment	Animal__kingdom
obl<parataxis<nsubj> ...	1.0	0.499	adaptation_comment	Animal__kingdom
xcomp<nsubj>det> ...	1.0	0.414	adaptation_comment	Animal__kingdom
xcomp<nsubj> ...	1.0	0.27	adaptation_comment	Animal__kingdom
xcomp<nsubj>nmod> ...	1.0	0.303	adaptation_comment	Animal__kingdom
nsubj<obj>conj> ...	1.0	0.397	adaptation_comment	Animal__kingdom
acl:relcl>obj>amod> ...	1.0	0.526	adaptation_comment	Animal__kingdom
nsubj<conj<obl> ...	1.0	0.4	adaptation_comment	Animal__kingdom
nsubj<conj<nsubj> ...	1.0	0.529	adaptation_comment	Animal__kingdom
nsubj<conj<cop> ...	1.0	0.516	adaptation_comment	Animal__kingdom
nsubj<conj< ...	1.0	0.195	adaptation_comment	Animal__kingdom
nsubj<cc> ...	1.0	0.418	adaptation_comment	Animal__kingdom
nsubj<obj>amod> ...	1.0	0.669	adaptation_comment	Animal__kingdom
advcl>obl> ...	1.0	0.852	adaptation_comment	Animal__kingdom
conj<obl<nsubj> ...	1.0	0.353	adaptation_comment	Animal__kingdom
compound<conj<obj< ...	1.0	0.694	adaptation_comment	Animal__kingdom
obl<nsubj:pass>nmod> ...	1.0	0.432	adaptation_comment	Animal__kingdom
compound<acl:relcl> ...	1.0	0.413	adaptation_comment	Animal__kingdom
compound<acl:relcl>nsubj> ...	1.0	0.326	adaptation_comment	Animal__kingdom
compound<nmod> ...	1.0	0.152	adaptation_comment	Animal__kingdom
obl<obl>det> ...	1.0	0.379	adaptation_comment	Animal__kingdom
compound<nmod>case> ...	1.0	0.831	adaptation_comment	Animal__kingdom
obl<obl>amod> ...	1.0	0.198	adaptation_comment	Animal__kingdom
obl<conj>aux:pass> ...	1.0	0.471	adaptation_comment	Animal__kingdom
obl<nsubj:pass>det> ...	1.0	0.65	adaptation_comment	Animal__kingdom
compound<obj<conj> ...	1.0	0.326	adaptation_comment	Animal__kingdom
obl<conj>obl> ...	1.0	0.352	adaptation_comment	Animal__kingdom
obj<advcl<nsubj> ...	1.0	0.195	adaptation_comment	Animal__kingdom
obj<advcl< ...	1.0	0.284	adaptation_comment	Animal__kingdom
