source	adaptation_comment	adaptation_topic	free_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	97.88	0.01	0.18	1.63	0.31	Theropoda__suborder	167
adaptation_topic	4.28	72.71	4.86	9.25	8.9	Theropoda__suborder	188
free_topic	0.0	0.0	100.0	0.0	0.0	Theropoda__suborder	387
taxongroup_comment	1.04	0.03	1.1	92.1	5.73	Theropoda__suborder	407
taxongroup_topic	2.57	0.56	3.07	26.07	67.74	Theropoda__suborder	437
