feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>conj> ...,0.585,0.128,0.731,0.039,11,Theropoda__suborder,adaptation_comment
nsubj> Spinosaurus,0.584,0.129,0.63,0.094,2,Theropoda__suborder,adaptation_comment
obl< ...,0.583,0.129,0.451,0.263,19,Theropoda__suborder,adaptation_comment
obj<advcl< ...,0.583,0.13,0.784,0.021,4,Theropoda__suborder,adaptation_comment
nmod> specimen,0.581,0.131,0.378,0.356,2,Theropoda__suborder,adaptation_comment
nmod<obl<nsubj> ...,0.579,0.132,0.504,0.203,4,Theropoda__suborder,adaptation_comment
conj>nmod>case> ...,0.579,0.133,0.577,0.134,2,Theropoda__suborder,adaptation_comment
conj<case> to,0.576,0.135,0.577,0.134,3,Theropoda__suborder,adaptation_comment
nmod:poss> they,0.573,0.138,0.436,0.28,3,Theropoda__suborder,adaptation_comment
det> the,0.571,0.139,0.54,0.167,31,Theropoda__suborder,adaptation_comment
amod<nmod< ...,0.571,0.139,0.592,0.122,3,Theropoda__suborder,adaptation_comment
compound<amod> ...,0.571,0.139,0.412,0.31,8,Theropoda__suborder,adaptation_comment
nsubj> ...,0.568,0.142,0.355,0.389,15,Theropoda__suborder,adaptation_comment
nmod< hand,0.565,0.144,0.577,0.134,2,Theropoda__suborder,adaptation_comment
amod> largest,0.564,0.146,0.682,0.062,6,Theropoda__suborder,adaptation_comment
nsubj> they,0.563,0.146,0.756,0.03,2,Theropoda__suborder,adaptation_comment
mark> if,0.559,0.149,0.592,0.122,3,Theropoda__suborder,adaptation_comment
obj<advcl<obl> ...,0.556,0.152,0.577,0.134,3,Theropoda__suborder,adaptation_comment
nmod>case> of,0.555,0.154,0.217,0.606,15,Theropoda__suborder,adaptation_comment
conj>amod> ...,0.552,0.156,-0.082,0.847,9,Theropoda__suborder,adaptation_comment
obl<advcl>obl> ...,0.551,0.157,0.764,0.027,4,Theropoda__suborder,adaptation_comment
obl<nmod>det> the,0.546,0.162,0.655,0.078,3,Theropoda__suborder,adaptation_comment
acl:relcl> need,0.546,0.162,0.63,0.094,2,Theropoda__suborder,adaptation_comment
compound<obj< ...,0.545,0.163,0.577,0.134,3,Theropoda__suborder,adaptation_comment
nmod<case> with,0.539,0.168,0.514,0.192,3,Theropoda__suborder,adaptation_comment
nmod> time,0.539,0.168,0.577,0.134,3,Theropoda__suborder,adaptation_comment
conj>aux> ...,-0.537,0.17,-0.546,0.162,3,Theropoda__suborder,adaptation_comment
appos>nmod>det> the,0.536,0.171,0.436,0.28,3,Theropoda__suborder,adaptation_comment
obj<acl< ...,0.536,0.171,0.218,0.604,3,Theropoda__suborder,adaptation_comment
nmod>case> ...,0.534,0.173,0.218,0.604,4,Theropoda__suborder,adaptation_comment
case> of,0.531,0.176,0.503,0.204,12,Theropoda__suborder,adaptation_comment
nmod>nmod> ...,0.53,0.177,0.577,0.134,5,Theropoda__suborder,adaptation_comment
conj<nsubj> ...,0.53,0.177,0.577,0.134,5,Theropoda__suborder,adaptation_comment
amod> sexual,0.528,0.178,0.733,0.039,3,Theropoda__suborder,adaptation_comment
compound< trap,0.522,0.184,0.577,0.134,4,Theropoda__suborder,adaptation_comment
conj<conj>cc> ...,0.522,0.185,0.412,0.31,2,Theropoda__suborder,adaptation_comment
acl>obl>case> in,-0.518,0.189,-0.252,0.547,2,Theropoda__suborder,adaptation_comment
nmod<obj< bit,0.516,0.19,0.577,0.134,2,Theropoda__suborder,adaptation_comment
nmod> area,0.513,0.194,0.577,0.134,2,Theropoda__suborder,adaptation_comment
conj<det> a,0.511,0.195,0.577,0.134,5,Theropoda__suborder,adaptation_comment
conj<mark> ...,0.511,0.196,0.577,0.134,1,Theropoda__suborder,adaptation_comment
obl<det> ...,0.503,0.204,0.412,0.31,1,Theropoda__suborder,adaptation_comment
advcl<ccomp< ...,0.496,0.212,0.327,0.429,3,Theropoda__suborder,adaptation_comment
conj<mark> that,0.487,0.221,0.577,0.134,4,Theropoda__suborder,adaptation_comment
acl> prey,0.486,0.222,0.412,0.31,3,Theropoda__suborder,adaptation_comment
nmod>case> like,0.48,0.229,0.436,0.28,4,Theropoda__suborder,adaptation_comment
nsubj<mark> although,0.473,0.236,0.504,0.203,2,Theropoda__suborder,adaptation_comment
amod<case> ...,-0.469,0.241,-0.577,0.134,1,Theropoda__suborder,adaptation_comment
advcl> ...,0.468,0.243,0.646,0.083,5,Theropoda__suborder,adaptation_comment
appos>nmod>case> in,0.466,0.245,0.412,0.31,2,Theropoda__suborder,adaptation_comment
nsubj<obj> ...,0.465,0.246,0.3,0.47,9,Theropoda__suborder,adaptation_comment
nmod>case> with,0.46,0.252,0.327,0.429,6,Theropoda__suborder,adaptation_comment
nsubj>nmod> ...,0.46,0.252,0.218,0.604,3,Theropoda__suborder,adaptation_comment
conj<mark> whether,0.459,0.253,0.247,0.555,2,Theropoda__suborder,adaptation_comment
nmod>nmod>case> of,0.459,0.253,0.412,0.31,3,Theropoda__suborder,adaptation_comment
parataxis>obl>case> ...,0.454,0.258,0.483,0.225,3,Theropoda__suborder,adaptation_comment
conj<conj>cc> and,0.454,0.259,0.296,0.476,4,Theropoda__suborder,adaptation_comment
compound> apex,0.452,0.261,0.46,0.252,9,Theropoda__suborder,adaptation_comment
conj<nmod<det> the,0.451,0.261,0.504,0.203,2,Theropoda__suborder,adaptation_comment
aux> have,0.451,0.262,0.514,0.192,5,Theropoda__suborder,adaptation_comment
obj<advcl<nsubj> ...,-0.451,0.263,-0.507,0.2,3,Theropoda__suborder,adaptation_comment
nsubj<advcl> ...,0.45,0.264,0.109,0.797,4,Theropoda__suborder,adaptation_comment
nsubj> Majungasaurus,0.445,0.269,0.592,0.122,3,Theropoda__suborder,adaptation_comment
conj<nmod>case> ...,0.445,0.269,0.592,0.122,4,Theropoda__suborder,adaptation_comment
obl<nsubj> ...,0.441,0.275,0.166,0.694,7,Theropoda__suborder,adaptation_comment
advcl>mark> ...,0.439,0.277,0.405,0.319,3,Theropoda__suborder,adaptation_comment
acl:relcl>nsubj> which,0.438,0.277,0.394,0.334,3,Theropoda__suborder,adaptation_comment
compound<det> the,0.437,0.28,0.412,0.31,4,Theropoda__suborder,adaptation_comment
aux> ...,0.433,0.284,0.577,0.134,2,Theropoda__suborder,adaptation_comment
conj<nsubj> Tyrannosaurus,0.432,0.285,0.412,0.31,3,Theropoda__suborder,adaptation_comment
conj<advmod> ...,0.43,0.287,0.412,0.31,3,Theropoda__suborder,adaptation_comment
obj<mark> to,-0.426,0.293,-0.378,0.356,2,Theropoda__suborder,adaptation_comment
conj>advmod> ...,0.425,0.293,0.385,0.346,5,Theropoda__suborder,adaptation_comment
compound<nsubj<cop> be,0.422,0.297,0.412,0.31,3,Theropoda__suborder,adaptation_comment
nmod>amod> large,0.421,0.298,0.378,0.356,2,Theropoda__suborder,adaptation_comment
