token	relrole	arcpath	lemma	upos	widx	token
Amm5689_8_predators-18	adaptation_comment	obj<advcl<xcomp<	allow	VERB	8	Amm5689_8_predators-18
Amm5689_8_predators-18	adaptation_comment	obj<advcl<mark>	to	PART	11	Amm5689_8_predators-18
Amm5689_8_predators-18	adaptation_comment	obj<advcl<	sink	VERB	12	Amm5689_8_predators-18
Amm5689_8_predators-18	adaptation_comment	obj<advcl<obl>	stone	NOUN	15	Amm5689_8_predators-18
Amm5689_8_predators-18	adaptation_comment	obj<mark>	to	PART	16	Amm5689_8_predators-18
Amm5689_8_predators-18	adaptation_comment	obj<	avoid	VERB	17	Amm5689_8_predators-18
Gia-2984_43_Predators-4	adaptation_comment	appos<amod>	giant	ADJ	1	Gia-2984_43_Predators-4
Gia-2984_43_Predators-4	adaptation_comment	appos<	cuttlefish	NOUN	2	Gia-2984_43_Predators-4
Gia-2984_41_predators-32	adaptation_comment	obl<advcl<parataxis<	spend	VERB	5	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<advcl<nsubj:pass>	most	ADJ	20	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<advcl<aux:pass>	be	AUX	24	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<advcl<	spend	VERB	25	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<	resting	VERB	26	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<conj>cc>	and	CCONJ	27	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<conj>	hide	VERB	28	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<obl>case>	in	ADP	29	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	obl<obl>	crevice	NOUN	30	Gia-2984_41_predators-32
Gia-2984_41_predators-32	adaptation_comment	case>	from	ADP	31	Gia-2984_41_predators-32
Gia-2984_30_predators-8	adaptation_comment	conj<nsubj>	they	PRON	1	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	conj<cop>	be	AUX	2	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	conj<	carnivorous	ADJ	3	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	conj<conj>	opportunistic	ADJ	5	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	cc>	and	CCONJ	6	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	amod>	voracious	ADJ	7	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	acl:relcl>nsubj>	who	PRON	9	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	acl:relcl>	feed	VERB	10	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	acl:relcl>advmod>	predominantly	ADV	11	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	acl:relcl>obl>case>	on	ADP	12	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	acl:relcl>obl>	crustacean	NOUN	13	Gia-2984_30_predators-8
Gia-2984_30_predators-8	adaptation_comment	acl:relcl>obl>conj>	fish	NOUN	15	Gia-2984_30_predators-8
Gia-2984_61_spawning-21	adaptation_comment	compound<nmod<nmod<	behaviour	NOUN	8	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	compound<nmod<advmod>	possibly	ADV	14	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	compound<nmod<case>	as	ADP	15	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	compound<nmod<det>	a	DET	16	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	compound<nmod<	result	NOUN	17	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	compound<case>	of	ADP	18	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	compound<det>	the	DET	19	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	amod>	high	ADJ	20	Gia-2984_61_spawning-21
Gia-2984_61_spawning-21	adaptation_comment	compound<	density	NOUN	22	Gia-2984_61_spawning-21
Gia-2984_15_semelparous-4	adaptation_comment	nsubj>	S.	PROPN	1	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	nsubj>flat>	apama	PROPN	2	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	cop>	be	AUX	3	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>cc>	and	CCONJ	6	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>nsubj>	death	NOUN	7	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>	follow	VERB	8	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>advmod>	shortly	ADV	9	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>obl>case>	after	ADP	10	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>obl>det>	a	DET	11	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>obl>amod>	single	ADJ	12	Gia-2984_15_semelparous-4
Gia-2984_15_semelparous-4	adaptation_comment	conj>obl>compound>	mating	NOUN	13	Gia-2984_15_semelparous-4
