feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj<amod> ...,0.054,0.899,0.062,0.883,5,Mollusca__phylum,adaptation_topic
compound<conj<conj> ...,-0.053,0.9,-0.082,0.846,3,Mollusca__phylum,adaptation_topic
nmod>amod> square,-0.052,0.902,0.0,1.0,2,Mollusca__phylum,adaptation_topic
compound< pigment,-0.025,0.953,-0.247,0.555,2,Mollusca__phylum,adaptation_topic
amod> brown,-0.02,0.963,0.126,0.766,2,Mollusca__phylum,adaptation_topic
conj<nmod< gastropod,-0.017,0.968,-0.082,0.846,2,Mollusca__phylum,adaptation_topic
nsubj<nmod>case> ...,-0.01,0.982,-0.082,0.846,1,Mollusca__phylum,adaptation_topic
obl<advmod> ...,-0.006,0.988,0.0,1.0,2,Mollusca__phylum,adaptation_topic
amod> ...,0.003,0.995,0.086,0.839,10,Mollusca__phylum,adaptation_topic
nmod<amod> ...,0.002,0.996,0.126,0.766,4,Mollusca__phylum,adaptation_topic
